run_id,platform,app,input,node_ids,start_time,end_time,unwanted,duration
59e5022457f3f44ead63fc7e,volta,mg,X,"['59e5022357f3f44ead63fc7a', '59e5022457f3f44ead63fc7b', '59e5022457f3f44ead63fc7c', '59e5022457f3f44ead63fc7d']",1506998565,1506999516,0.0,951
59e5022457f3f44ead63fc83,volta,mg,X,"['59e5022457f3f44ead63fc7f', '59e5022457f3f44ead63fc80', '59e5022457f3f44ead63fc81', '59e5022457f3f44ead63fc82']",1507361746,1507362683,0.0,937
59e5022557f3f44ead63fc88,volta,mg,X,"['59e5022557f3f44ead63fc84', '59e5022557f3f44ead63fc85', '59e5022557f3f44ead63fc86', '59e5022557f3f44ead63fc87']",1506784714,1506785661,0.0,947
59e5022657f3f44ead63fc8d,volta,mg,X,"['59e5022557f3f44ead63fc89', '59e5022557f3f44ead63fc8a', '59e5022657f3f44ead63fc8b', '59e5022657f3f44ead63fc8c']",1506998564,1506999505,0.0,941
59e5022657f3f44ead63fc92,volta,mg,X,"['59e5022657f3f44ead63fc8e', '59e5022657f3f44ead63fc8f', '59e5022657f3f44ead63fc90', '59e5022657f3f44ead63fc91']",1506998566,1506999503,0.0,937
59e5022757f3f44ead63fc97,volta,mg,X,"['59e5022757f3f44ead63fc93', '59e5022757f3f44ead63fc94', '59e5022757f3f44ead63fc95', '59e5022757f3f44ead63fc96']",1506784715,1506785656,0.0,941
59e5022857f3f44ead63fc9c,volta,mg,X,"['59e5022757f3f44ead63fc98', '59e5022757f3f44ead63fc99', '59e5022757f3f44ead63fc9a', '59e5022857f3f44ead63fc9b']",1507225068,1507225998,0.0,930
59e5022857f3f44ead63fca1,volta,mg,X,"['59e5022857f3f44ead63fc9d', '59e5022857f3f44ead63fc9e', '59e5022857f3f44ead63fc9f', '59e5022857f3f44ead63fca0']",1507224157,1507225092,0.0,935
59e5022957f3f44ead63fca6,volta,mg,X,"['59e5022957f3f44ead63fca2', '59e5022957f3f44ead63fca3', '59e5022957f3f44ead63fca4', '59e5022957f3f44ead63fca5']",1506891463,1506892400,0.0,937
59e5022a57f3f44ead63fcab,volta,mg,X,"['59e5022957f3f44ead63fca7', '59e5022957f3f44ead63fca8', '59e5022957f3f44ead63fca9', '59e5022a57f3f44ead63fcaa']",1507224156,1507225110,0.0,954
59e5022a57f3f44ead63fcb0,volta,mg,X,"['59e5022a57f3f44ead63fcac', '59e5022a57f3f44ead63fcad', '59e5022a57f3f44ead63fcae', '59e5022a57f3f44ead63fcaf']",1507361748,1507362682,0.0,934
59e5022b57f3f44ead63fcb5,volta,mg,X,"['59e5022b57f3f44ead63fcb1', '59e5022b57f3f44ead63fcb2', '59e5022b57f3f44ead63fcb3', '59e5022b57f3f44ead63fcb4']",1506784717,1506785653,0.0,936
59e5022c57f3f44ead63fcba,volta,mg,X,"['59e5022b57f3f44ead63fcb6', '59e5022b57f3f44ead63fcb7', '59e5022b57f3f44ead63fcb8', '59e5022b57f3f44ead63fcb9']",1507361746,1507362689,0.0,943
59e5022c57f3f44ead63fcbf,volta,mg,X,"['59e5022c57f3f44ead63fcbb', '59e5022c57f3f44ead63fcbc', '59e5022c57f3f44ead63fcbd', '59e5022c57f3f44ead63fcbe']",1506998567,1506999504,0.0,937
59e5022d57f3f44ead63fcc4,volta,mg,X,"['59e5022d57f3f44ead63fcc0', '59e5022d57f3f44ead63fcc1', '59e5022d57f3f44ead63fcc2', '59e5022d57f3f44ead63fcc3']",1507224156,1507225090,0.0,934
59e5022d57f3f44ead63fcc9,volta,mg,X,"['59e5022d57f3f44ead63fcc5', '59e5022d57f3f44ead63fcc6', '59e5022d57f3f44ead63fcc7', '59e5022d57f3f44ead63fcc8']",1506998567,1506999504,0.0,937
59e5022e57f3f44ead63fcce,volta,mg,X,"['59e5022e57f3f44ead63fcca', '59e5022e57f3f44ead63fccb', '59e5022e57f3f44ead63fccc', '59e5022e57f3f44ead63fccd']",1506784714,1506785656,0.0,942
59e5022f57f3f44ead63fcd3,volta,mg,X,"['59e5022e57f3f44ead63fccf', '59e5022f57f3f44ead63fcd0', '59e5022f57f3f44ead63fcd1', '59e5022f57f3f44ead63fcd2']",1506891460,1506892400,0.0,940
59e5022f57f3f44ead63fcd8,volta,mg,X,"['59e5022f57f3f44ead63fcd4', '59e5022f57f3f44ead63fcd5', '59e5022f57f3f44ead63fcd6', '59e5022f57f3f44ead63fcd7']",1506891460,1506892413,0.0,953
59e5023057f3f44ead63fcdd,volta,mg,X,"['59e5023057f3f44ead63fcd9', '59e5023057f3f44ead63fcda', '59e5023057f3f44ead63fcdb', '59e5023057f3f44ead63fcdc']",1507361747,1507362682,0.0,935
59e5023157f3f44ead63fce2,volta,mg,X,"['59e5023057f3f44ead63fcde', '59e5023157f3f44ead63fcdf', '59e5023157f3f44ead63fce0', '59e5023157f3f44ead63fce1']",1507224155,1507225109,0.0,954
59e5023157f3f44ead63fce7,volta,mg,X,"['59e5023157f3f44ead63fce3', '59e5023157f3f44ead63fce4', '59e5023157f3f44ead63fce5', '59e5023157f3f44ead63fce6']",1506891462,1506892400,0.0,938
59e5023257f3f44ead63fcec,volta,mg,X,"['59e5023257f3f44ead63fce8', '59e5023257f3f44ead63fce9', '59e5023257f3f44ead63fcea', '59e5023257f3f44ead63fceb']",1506784715,1506785652,0.0,937
